,country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,address,non_residential_change_from_baseline
51429,FR,France,,,2020-02-15,-2.0,-1.0,23.0,12.0,-2.0,-1.0,France,6.0
51430,FR,France,,,2020-02-16,6.0,2.0,9.0,7.0,-1.0,-1.0,France,4.6
51431,FR,France,,,2020-02-17,1.0,2.0,16.0,-6.0,-15.0,4.0,France,-0.4
51432,FR,France,,,2020-02-18,5.0,2.0,36.0,-4.0,-14.0,3.0,France,5.0
51433,FR,France,,,2020-02-19,-4.0,-3.0,18.0,-6.0,-12.0,2.0,France,-1.4
51434,FR,France,,,2020-02-20,-2.0,-1.0,29.0,-4.0,-15.0,3.0,France,1.4
51435,FR,France,,,2020-02-21,-1.0,-2.0,28.0,0.0,-15.0,3.0,France,2.0
51436,FR,France,,,2020-02-22,-6.0,-2.0,31.0,14.0,-5.0,-1.0,France,6.4
51437,FR,France,,,2020-02-23,8.0,7.0,30.0,12.0,-1.0,-1.0,France,11.2
51438,FR,France,,,2020-02-24,3.0,3.0,45.0,-1.0,-15.0,3.0,France,7.0
51439,FR,France,,,2020-02-25,1.0,1.0,23.0,-3.0,-14.0,4.0,France,1.6
51440,FR,France,,,2020-02-26,-5.0,-2.0,9.0,-5.0,-12.0,3.0,France,-3.0
51441,FR,France,,,2020-02-27,-5.0,-1.0,1.0,-5.0,-15.0,4.0,France,-5.0
51442,FR,France,,,2020-02-28,-1.0,1.0,15.0,0.0,-15.0,4.0,France,0.0
51443,FR,France,,,2020-02-29,-7.0,1.0,-12.0,4.0,-5.0,1.0,France,-3.8
51444,FR,France,,,2020-03-01,1.0,4.0,-13.0,2.0,1.0,0.0,France,-1.0
51445,FR,France,,,2020-03-02,-6.0,3.0,-9.0,-4.0,-5.0,3.0,France,-4.2
51446,FR,France,,,2020-03-03,-1.0,5.0,8.0,-4.0,-4.0,2.0,France,0.8
51447,FR,France,,,2020-03-04,-6.0,2.0,1.0,-6.0,-3.0,2.0,France,-2.4
51448,FR,France,,,2020-03-05,-8.0,0.0,-15.0,-6.0,-5.0,3.0,France,-6.8
51449,FR,France,,,2020-03-06,-2.0,2.0,-1.0,-1.0,-4.0,3.0,France,-1.2
51450,FR,France,,,2020-03-07,-4.0,1.0,7.0,1.0,0.0,1.0,France,1.0
51451,FR,France,,,2020-03-08,0.0,2.0,-1.0,-2.0,-1.0,1.0,France,-0.4
51452,FR,France,,,2020-03-09,-5.0,2.0,2.0,-5.0,-1.0,2.0,France,-1.4
51453,FR,France,,,2020-03-10,-5.0,1.0,1.0,-6.0,-1.0,2.0,France,-2.0
51454,FR,France,,,2020-03-11,-6.0,2.0,17.0,-5.0,0.0,1.0,France,1.6
51455,FR,France,,,2020-03-12,-8.0,5.0,5.0,-7.0,-1.0,1.0,France,-1.2
51456,FR,France,,,2020-03-13,-8.0,17.0,4.0,-8.0,-2.0,3.0,France,0.6
51457,FR,France,,,2020-03-14,-21.0,1.0,-1.0,-16.0,-5.0,5.0,France,-8.4
51458,FR,France,,,2020-03-15,-38.0,23.0,15.0,-21.0,-9.0,3.0,France,-6.0
51459,FR,France,,,2020-03-16,-43.0,46.0,-15.0,-39.0,-36.0,13.0,France,-17.4
51460,FR,France,,,2020-03-17,-68.0,-15.0,-40.0,-61.0,-55.0,24.0,France,-47.8
51461,FR,France,,,2020-03-18,-83.0,-45.0,-53.0,-76.0,-67.0,29.0,France,-64.8
51462,FR,France,,,2020-03-19,-82.0,-41.0,-56.0,-78.0,-71.0,32.0,France,-65.6
51463,FR,France,,,2020-03-20,-83.0,-42.0,-66.0,-80.0,-71.0,36.0,France,-68.4
51464,FR,France,,,2020-03-21,-88.0,-54.0,-78.0,-82.0,-58.0,24.0,France,-72.0
51465,FR,France,,,2020-03-22,-86.0,-64.0,-80.0,-84.0,-55.0,18.0,France,-73.8
51466,FR,France,,,2020-03-23,-81.0,-41.0,-64.0,-82.0,-73.0,32.0,France,-68.2
51467,FR,France,,,2020-03-24,-83.0,-45.0,-65.0,-82.0,-74.0,34.0,France,-69.8
51468,FR,France,,,2020-03-25,-84.0,-48.0,-67.0,-83.0,-73.0,32.0,France,-71.0
51469,FR,France,,,2020-03-26,-84.0,-46.0,-67.0,-83.0,-74.0,34.0,France,-70.8
51470,FR,France,,,2020-03-27,-84.0,-46.0,-68.0,-84.0,-73.0,37.0,France,-71.0
51471,FR,France,,,2020-03-28,-87.0,-56.0,-76.0,-83.0,-59.0,25.0,France,-72.2
51472,FR,France,,,2020-03-29,-88.0,-72.0,-82.0,-87.0,-56.0,18.0,France,-77.0
51473,FR,France,,,2020-03-30,-84.0,-47.0,-66.0,-83.0,-74.0,33.0,France,-70.8
51474,FR,France,,,2020-03-31,-90.0,-38.0,-61.0,-82.0,-74.0,33.0,France,-69.0
51475,FR,France,,,2020-04-01,-90.0,-39.0,-62.0,-81.0,-71.0,31.0,France,-68.6
51476,FR,France,,,2020-04-02,-90.0,-36.0,-62.0,-82.0,-73.0,33.0,France,-68.6
51477,FR,France,,,2020-04-03,-86.0,-38.0,-66.0,-82.0,-72.0,37.0,France,-68.8
51478,FR,France,,,2020-04-04,-88.0,-45.0,-73.0,-80.0,-57.0,24.0,France,-68.6
51479,FR,France,,,2020-04-05,-85.0,-62.0,-73.0,-82.0,-53.0,17.0,France,-71.0
51480,FR,France,,,2020-04-06,-83.0,-37.0,-61.0,-81.0,-72.0,31.0,France,-66.8
51481,FR,France,,,2020-04-07,-82.0,-35.0,-61.0,-80.0,-72.0,32.0,France,-66.0
51482,FR,France,,,2020-04-08,-84.0,-37.0,-63.0,-80.0,-70.0,30.0,France,-66.8
51483,FR,France,,,2020-04-09,-83.0,-32.0,-61.0,-80.0,-71.0,32.0,France,-65.4
