,old_address,Population,LandArea,PopDensity,new_address
0,National Capital Region (NCR),"12,877,253",619.54,"20,785","Metro Manila, Philippines"
1,City of Manila *,"1,780,148",24.98,"71,263","Manila, Metro Manila, Philippines"
2,Quezon City **,"2,936,116",171.71,"17,099","Quezon City, Metro Manila, Philippines"
3,Caloocan City *,"1,583,978",55.8,"28,387","Caloocan, Metro Manila, Philippines"
4,Pasay City *,"416,522",13.97,"29,815","Pasay, Metro Manila, Philippines"
5,City of Las Piñas *,"588,894",32.69,"18,014","Las Pinas, Metro Manila, Philippines"
6,City of Makati *,"582,602",21.57,"27,010","Makati, Metro Manila, Philippines"
7,City of Malabon **,"365,525",15.71,"23,267","Malabon, Metro Manila, Philippines"
8,City of Mandaluyong *,"386,276",9.29,"41,580","Mandaluyong, Metro Manila, Philippines"
9,City of Marikina *,"450,741",21.52,"20,945","Marikina, Metro Manila, Philippines"
10,City of Muntinlupa *,"504,509",39.75,"12,692","Muntinlupa, Metro Manila, Philippines"
11,City of Navotas *,"249,463",8.94,"27,904","Navotas, Metro Manila, Philippines"
12,City of Parañaque*,"665,822",46.57,"14,297","Parañaque, Metro Manila, Philippines"
13,City of Pasig **,"755,300",48.46,"15,586","Pasig, Metro Manila, Philippines"
14,City of San Juan *,"122,180",5.95,"20,534","San Juan, Metro Manila, Philippines"
15,Taguig City *,"804,915",45.21,"17,804","Taguig, Metro Manila, Philippines"
16,City of Valenzuela *,"620,422",47.02,"13,195","Valenzuela, Metro Manila, Philippines"
17,Municipality of Pateros *,"63,840",10.4,"6,138","Pateros, Metro Manila, Philippines"
18,Cordillera Administrative Region (CAR),"1,722,006","19,818.12",87,"Cordillera Administrative Region, Philippines"
19,Abra,"241,160","4,199.72",57,"Abra, Philippines"
20,Bangued (Capital) *,"48,163",136.4,353,"Bangued, Abra, Philippines"
21,Boliney *,"3,573",210,17,"Boliney, Abra, Philippines"
22,Bucay *,"17,115",102.16,168,"Bucay, Abra, Philippines"
23,Bucloc *,"2,501",63.77,39,"Bucloc, Abra, Philippines"
24,Daguioman *,"2,088",114.37,18,"Daguioman, Abra, Philippines"
25,Danglas *,"4,192",156.02,27,"Danglas, Abra, Philippines"
26,Dolores *,"11,315",47.45,238,"Dolores, Eastern Samar, Philippines"
27,La Paz *,"15,437",51.41,300,"La Paz, Tarlac, Philippines"
28,Lacub *,"3,403",235.53,14,"Lacub, Abra, Philippines"
29,Lagangilang *,"14,255",124.2,115,"Lagangilang, Abra, Philippines"
30,Lagayan *,"4,499",215.97,21,"Lagayan, Abra, Philippines"
31,Langiden *,"3,198",116.29,28,"Langiden, Abra, Philippines"
32,Licuan-Baay **,"4,689",256.42,18,"Licuan-Baay, Abra, Philippines"
33,Luba *,"6,339",148.27,43,"Luba, Abra, Philippines"
34,Malibcong **,"3,428",283.17,12,"Malibcong, Abra, Philippines"
35,Manabo *,"10,761",81.08,133,"Manabo, Abra, Philippines"
36,Peñarrubia *,"6,640",39.07,170,"Peñarrubia, Abra, Philippines"
37,Pidigan *,"12,185",49.15,248,"Pidigan, Abra, Philippines"
38,Pilar *,"10,223",66.1,155,"Pilar, Bataan, Philippines"
39,Sallapadan *,"6,622",128.62,51,"Sallapadan, Abra, Philippines"
40,San Isidro *,"4,574",48.07,95,"San Isidro, Nueva Ecija, Philippines"
41,San Juan *,"9,867",64.08,154,"San Juan, Metro Manila, Philippines"
42,San Quintin *,"5,438",66.59,82,"San Quintin, Pangasinan, Philippines"
43,Tayum *,"14,467",55.68,260,"Tayum, Abra, Philippines"
44,Tineg **,"5,097",744.8,7,"Tineg, Abra, Philippines"
45,Tubo *,"5,699",492.12,12,"Century City Mall B1 Level, Kalayaan Ave. Brgy., Makati, Metro Manila, Philippines"
46,Villaviciosa *,"5,392",102.93,52,"Villaviciosa, Abra, Philippines"
47,Apayao,"119,184","4,502.33",26,"Apayao, Philippines"
48,Calanasan *,"12,604","1,256.15",10,"Calanasan, Apayao, Philippines"
49,Conner **,"26,051",694.3,38,"Conner, Apayao, Philippines"
50,Flora *,"17,391",413.38,42,
51,Kabugao (Capital) *,"15,537",935.12,17,"Kabugao, Apayao, Philippines"
52,Luna **,"19,063",606.04,31,"Luna, La Union, Philippines"
53,Pudtol **,"14,925",401.02,37,"Pudtol, Apayao, Philippines"
54,Santa Marcela **,"13,613",196.32,69,"Santa Marcela, Apayao, Philippines"
55,Benguet (excluding Baguio City),"446,224","2,769.08",161,"Baguio, Benguet, Philippines"
56,Atok **,"19,668",214.99,91,"Atok, Benguet, Philippines"
57,Bakun *,"15,357",286.91,54,"Bakun, Benguet, Philippines"
58,Bokod **,"13,756",274.96,50,"Bokod, Benguet, Philippines"
59,Buguias *,"43,627",175.88,248,"Buguias, Benguet, Philippines"
60,Itogon *,"59,820",449.73,133,"Itogon, Benguet, Philippines"
61,Kabayan *,"15,260",242.69,63,"Kabayan, Benguet, Philippines"
62,Kapangan *,"19,361",164.39,118,"Kapangan, Benguet, Philippines"
63,Kibungan *,"17,292",254.86,68,"Kibungan, Benguet, Philippines"
64,La Trinidad (Capital) *,"129,133",70.04,"1,844","La Trinidad, Benguet, Philippines"
65,Mankayan *,"35,953",130.48,276,"Mankayan, Benguet, Philippines"
66,Sablan *,"11,457",105.63,108,"Sablan, Benguet, Philippines"
67,Tuba **,"47,648",295.97,161,
68,Tublay *,"17,892",102.55,174,"Tublay, Benguet, Philippines"
69,Baguio City **,"345,366",57.51,"6,005","Baguio, Benguet, Philippines"
70,Ifugao,"202,802","2,618.01",77,"Ifugao, Philippines"
71,Aguinaldo *,"19,408",538.05,36,"Kawit, Cavite, Philippines"
72,Alfonso Lista *,"32,119",347.46,92,"Alfonso Lista, Ifugao, Philippines"
73,Asipulo *,"15,261",182.87,83,"Asipulo, Ifugao, Philippines"
74,Banaue *,"21,837",191.2,114,"Banaue, Ifugao, Philippines"
75,Hingyon *,"9,227",62.02,149,"Hingyon, Ifugao, Philippines"
76,Hungduan **,"9,400",260.3,36,"Hungduan, Ifugao, Philippines"
77,Kiangan **,"17,048",200,85,"Kiangan, Ifugao, Philippines"
78,Lagawe (Capital) *,"19,333",208.91,93,"Lagawe, Ifugao, Philippines"
79,Lamut *,"25,279",149.45,169,"Lamut, Ifugao, Philippines"
80,Mayoyao **,"17,331",238.05,73,"Mayoyao, Ifugao, Philippines"
81,Tinoc **,"16,559",239.7,69,"Tinoc, Ifugao, Philippines"
82,Kalinga,"212,680","3,282.04",65,"Kalinga, Philippines"
83,Balbalan *,"12,195",542.69,22,"Balbalan, Kalinga, Philippines"
84,Lubuagan **,"8,733",234.2,37,"Lubuagan, Kalinga, Philippines"
85,Pasil **,"9,644",189,51,"Pasil, Kalinga, Philippines"
86,Pinukpuk **,"32,026",743.56,43,"Pinukpuk, Kalinga, Philippines"
87,Rizal *,"17,038",281.79,60,"Rizal, Philippines"
88,Tanudan *,"9,534",307.55,31,"Tanudan, Kalinga, Philippines"
89,Tinglayan **,"12,868",283,45,"Tinglayan, Kalinga, Philippines"
90,City of Tabuk (Capital) **,"110,642",700.25,158,"Tabuk, Kalinga, Philippines"
91,Mountain Province,"154,590","2,389.43",65,"Mountain Province, Philippines"
92,Barlig **,"4,819",228.64,21,"Barlig, Mountain Province, Philippines"
93,Bauko *,"31,065",170.37,182,"Bauko, Mountain Province, Philippines"
94,Besao **,"7,040",173.62,41,"Besao, Mountain Province, Philippines"
95,Bontoc (Capital) **,"24,643",396.1,62,"Bontoc, Mountain Province, Philippines"
96,Natonin *,"10,272",252,41,"Natonin, Mountain Province, Philippines"
97,Paracelis *,"28,121",570.16,49,"Paracelis, Mountain Province, Philippines"
98,Sabangan *,"9,315",72.04,129,"Sabangan, Mountain Province, Philippines"
99,Sadanga *,"8,799",259.79,34,"Sadanga, Mountain Province, Philippines"
100,Sagada *,"11,127",109.71,101,"Sagada, Mountain Province, Philippines"
101,Tadian *,"19,389",157,123,"Tadian, Mountain Province, Philippines"
102,Region I – Ilocos ,"5,026,128","12,964.62",388,"Ilocos Region, Philippines"
103,Ilocos Norte,"593,081","3,418.75",173,"Ilocos Norte, Philippines"
104,Adams *,"1,792",159.31,11,"Adams, Ilocos Norte, Philippines"
105,Bacarra *,"32,215",65.32,493,"Bacarra, Ilocos Norte, Philippines"
106,Badoc **,"31,616",76.68,412,"Badoc, Ilocos Norte, Philippines"
107,Bangui *,"14,672",108.76,135,"Bangui, Ilocos Norte, Philippines"
108,Banna *,"19,438",92.73,210,"Banna, Ilocos Norte, Philippines"
109,Burgos *,"9,777",128.9,76,"Burgos, Ilocos Norte, Philippines"
110,Carasi *,"1,567",82.97,19,"Carasi, Ilocos Norte, Philippines"
111,Currimao *,"12,184",34.08,358,"Currimao, Ilocos Norte, Philippines"
112,Dingras **,"38,562",96,402,"Dingras, Ilocos Norte, Philippines"
113,Dumalneg *,"2,947",92.69,32,"Dumalneg, Ilocos Norte, Philippines"
114,Marcos **,"17,777",72.77,244,
115,Nueva Era *,"9,506",515.02,18,"Nueva Era, Ilocos Norte, Philippines"
116,Pagudpud *,"23,770",194.9,122,"Pagudpud, Ilocos Norte, Philippines"
117,Paoay *,"24,866",76.24,326,"Paoay, Ilocos Norte, Philippines"
118,Pasuquin *,"28,980",161.41,180,"Pasuquin, Ilocos Norte, Philippines"
119,Piddig *,"21,497",216.2,99,"Piddig, Ilocos Norte, Philippines"
